business_name,business_address,email_address,fax,phone_number,website
Wheel Works,"1499 Franklin St, San Francisco, CA 94109",120383@bfrc.com,(415) 563-5887,(415) 212-8158,https://local.wheelworks.net/california/san-francisco/1499-franklin-st/?lw_cmp=IYP_YPC_MLP_Diagnostic_120383
Industrial Auto Body Shop,"145 Industrial St, San Francisco, CA 94124",industrialab@earthlink.net,(415) 648-1491,(415) 610-8727,http://www.industrialautobody.com
House Of Brakes Inc.,"3195 24th St, San Francisco, CA 94110",ptaxdina@aol.com,,(415) 285-0595,http://www.houseofbrakes.net
Firestone Complete Auto Care - San Francisco,"1501 Mission St, San Francisco, CA 94103",,(800) 367-3872,(415) 636-7139,http://local.firestonecompleteautocare.com/california/san-francisco/1501-mission-st/?lw_cmp=IYP_DEX_ESS_12645
Phaedrus BMW,"1641 Jackson St, San Francisco, CA 94109",info@phaedrusmd.com,,(415) 539-0450,http://www.phaedrusmd.com
Golden  Gate Tow,"355 Barneveld Ave, San Francisco, CA 94124",GoldenGateTow@yahoo.com,(415) 826-2688,(415) 826-8866,http://www.goldengatetow.com
Firestone Complete Auto Care,"2800 Geary Blvd, San Francisco, CA 94118",,(415) 614-4237,(415) 697-2847,http://local.firestonecompleteautocare.com/california/san-francisco/2800-geary-blvd/?utm_source=moz&utm_medium=organic&utm_campaign=localmaps&lw_cmp=oloc_google_not-set_map#0lNAGm
Safelite AutoGlass,"2435 16th St, San Francisco, CA 94103",,,(888) 933-5735,https://ad.doubleclick.net/ddm/clk/318370128;146857330;f?https://www.safelite.com/stores/San-Francisco?utm_medium=list&utm_source=iyp&utm_campaign=yp_local_website&utm_content=CA_94103
Sunset Auto Reconstruction,"1270 20th Ave, San Francisco, CA 94122",sunset1270@aol.com,(415) 681-5451,(415) 566-5376,
John's British Car Specialist,"3250 Cesar Chavez, San Francisco, CA 94110",johnsjaguarservice@gmail.com,,(415) 829-8480,
Commercial Tire Company Of San Francisco,"601 Bay Shore Blvd, San Francisco, CA 94124",,,(415) 715-0230,http://www.sftires.com
Chevron At Masonic & Fell,"1698 Fell St, San Francisco, CA 94117",91623station@gmail.com,(415) 921-8011,(415) 921-8188,http://www.chevron.com
Larkins Bros Tire Company,"370 S Van Ness Ave, San Francisco, CA 94103",mfltire@sbcglobal.net,(415) 863-7295,(415) 863-5730,http://www.larkinsbrostire.com
R & M Automotive,"824 Ellis St, San Francisco, CA 94109",info@sfautosport.com,,(415) 292-4840,http://www.sfautosport.com
Auto Works San Francisco Honda Acura Mazda Subaru,"1021 Valencia St, San Francisco, CA 94110",jparmana@autoworks.net,,(415) 282-4300,http://www.sfautoworks.com
Alpha Towing,"1330 Van Dyke Ave Suite B, San Francisco, CA 94124",,,(415) 668-2777,http://sanfranciscolocaltowcompany.com?provider=ci
Will's Auto Body,,,,,
ABC Garage Repair San Francisco,"2715 Geary Blvd, San Francisco, CA 94118",willsautobody@sbcglobal.net,,(415) 563-8777,http://www.willsautobodyshop.com
Sunset Service Super Lube,"150 Font Blvd, San Francisco, CA 94132",,,(415) 593-5608,
All-Pro Mechanic,"2095 19th Ave, San Francisco, CA 94116",sunsetservice@gmail.com,(415) 731-7200,(415) 731-7211,
City Auto Tech Inc.,"1357 Harrison St, San Francisco, CA 94103",allpromechanicx@sbcglobal.net,(415) 639-9014,(415) 487-9014,http://allpromechanicx.net
T & R 76-3,"269 Bay Shore Blvd, San Francisco, CA 94124",ludang007@yahoo.com,,(415) 643-6129,http://cityautotechs.com
Pennzoil 10 Minute Oil Change,"3898 California St, San Francisco, CA 94118",tonymassih@TanRAuto.com,,(415) 752-0646,http://www.76.com
19th Ave Chevron Service & Repair,"1799 19th Ave, San Francisco, CA 94122",,,(415) 664-5823,http://penn10.com/san-francisco
Auto Body Garage,"1401 19th Ave, San Francisco, CA 94122",joe@19thave76.com,(415) 681-7664,(415) 681-3860,http://www.19thave76.com
San Francisco Auto Glass,"565 Bryant St, San Francisco, CA 94107",autobodygarage@yahoo.com,,(415) 371-8822,http://www.autobodygarage.com
Midas,"208 Lily St, San Francisco, CA 94102",admin@sanfrancisco-autoglass.net,,(415) 200-0603,
Midas Auto Repair San Francisco Geary Blvd,"4419 Geary Blvd, San Francisco, CA 94118",greco@midas.com,,(415) 387-7883,https://www.midas.com/sanfrancisco/store.aspx?shopnum=1188&dmanum=788
Midas Auto Repair San Francisco,"4419 Geary Blvd, San Francisco, CA 94118",consumerrelationsmidas@tbccorp.com,(415) 387-1139,(415) 387-7883,http://midassanfrancisco.com
Lombard Autobody,"165 Van Ness Ave, San Francisco, CA 94102",,(415) 625-8384,(415) 626-8384,http://www.midas.com
,"2340 Lombard St, San Francisco, CA 94123",lombardcollision@qrio.com,,(415) 292-2962,http://lombardautobodysf.com
