title,size_m2,price,latitude,longitude
Loma Vista Tower,143,202000,9.004573752711321,-79.51561334418028
"Apartamentos en Bella Vista - Av Balboa - Cinta Costera - Desde 225,000",107,225000,8.976754551248513,-79.53361514022828
Park Square,92,169000,8.998924342101818,-79.5182497028244
PH Spotlight en Tumba Muerto,,171500,9.025607166313833,-79.52708688394478
Le Parc Residences - a Orillas del Parque Omar,117,163000,8.9972018,-79.51365599999997
"Miradores Residences - Quédate en Casa ""Visita Nuestro Proyecto en Redes""",,,9.012512599999999,-79.51115579999998
Proyecto Alta Terra,116,165000,9.046488249798196,-79.46978951886234
The Veld - Parques Que Unen.,72,119750,8.885110644040807,-79.74611965481301
Yacht Club Último Precio,,275000,8.97595106111013,-79.52134281971682
Apartamentos en Hato Pintado - 12 de Octubre - Via España - en Construcción,,115000,9.0101104,-79.5128081
"PH Albrook Park, Albrook - ¡Hermoso Apartamento en Venta!",124,250000,,
Ganga PH Paramount - Costa del Este - Apartamento en Venta,317,640000,9.010692728658398,-79.4681338994751
P. H Porto Vita en Punta Paitilla (Id 12389),245,465500,,
20 - 112 Af Apartamento a Estrenar en Venta en Santa Maria,215,530000,9.025366134156275,-79.46302839020838
Se Alquila o Se Vende Lindo Apartamento Amoblado en Edison Park,90,800,8.99540694636564,-79.53075525386316
Proyecto de Apartamento en Costa del Este,58,213200,9.013490176107702,-79.46136400392152
Vendo Apartamento Bijao 4 Recamaras Vista Al Mar + 3 Estacionamientos + 2 Depositos,212,600000,8.396878168147321,-80.07289230080261
"Venta de Apartamentos PH Villa Magma, Las Acacias",78,115000,,
Se Vende Apartamento PH Oceans Two - Costa del Este,415,749000,9.010431397615758,-79.46475508410032
"Apartamento en Venta en PH Midpark, Carrasquilla",78,165000,,
Centrico Apartamento | PH The One,154,285000,8.982963382394196,-79.51514232450215
Venta de Apartamento en Via España.,83,130000,8.998817599999999,-79.51757350000003
Venta de Apartamento PH Breeze - Costa del Este,220,480000,9.014819938583068,-79.4737654975056
Se Vende en Bellamare - Punta Pacifica - 4174dm,795,1575000,8.9924711,-79.5069436
"Se Vende Apartamento en PH Ritz, Punta Paitilla",294,420000,8.976026081640411,-79.51529232142639
Le Parc Residences - Apartamentos en Venta Frente Al Parque Omar - San Francisco,117,163000,8.997436138383797,-79.51300508836061
Época Parque Lefevre - en Construcción,65,120900,9.0063398,-79.5005769
Torres de Castilla - Vía España. Entrega Inmediata!,,191620,8.99974493807578,-79.51764484603268
El Botánico,48,118000,8.975206752615954,-79.53425190213011
"Torre Delta Entrega Inmediata, Descuento de Hasta 10.000$",100,179000,8.998733342763394,-79.52064696871719
Prestige - Bella Vista - Sólo 2 por Piso!,180,395000,8.976315699999999,-79.52907859999999
"Venta Apartamentos Frente Al Parque Omar - San Francisco, PH Residencias del Sol",165,175000,9.00423696661986,-79.5088486656067
Alto Rio | Vive por Todo Lo Alto en El Centro de La Ciudad,71,151500,9.0124455,-79.5042661
PH. Arraiján Heights - en Arraiján Cabecera,66,88000,,
The Gray Calle 50,58,119900,8.992788848810461,-79.50614798097638
Vendo Apartamento en PH Don Omar,55,120000,8.996728899999999,-79.5098708
Se Vende Apartamento en PH Citrus San Francisco,160,275000,8.9949628,-79.50628470000001
Apartamento Para Venta en Sky Point Tower,98,210000,,
Se Vende Apartamento en PH Torre Imperial - La Cresta,677,799000,8.977817295161106,-79.5331017705002
Haga Su Cita Hoy - Alquiler Av Balboa - PH Vista del Mar - Remodalado Amoblado,114,270000,8.9738898512656,-79.53010827877749
Se Vende Apart en PH Mandarin Bay - San Francisco,218,399000,8.9891554,-79.5017982
"Hermoso Apartamento - Torres de Castilla - 2 Recámaras, 2 Baños - Amoblado",83,975,8.99776464104048,-79.5182907715365
Venta Apartamento Llano Bonito Etapa III. 2 Habitaciones.,67,85000,,
PH. Pacific Bay - San Francisco - Venta,239,375000,,
Venta Apartamento. Av Balboa. Bay View. Amoblado. Vista Al Mar.,70,158000,,
Entrega Inmediata Interes Preferencial Via España.,66,120000,9.0182821,-79.4944889
"Av Balboa Venta de Apartamento, con Vista Total Al Oceano",121,340000,8.973362364775069,-79.52942181887971
Venta Apto en Río Abajo PH Torres de Vía España,76,105000,9.022739004320785,-79.48968904754639
"Apartamento en Venta en Obarrio, PH River Park",131,245000,8.988148299999999,-79.51575989999999
Apartamento Planta Baja en Tumba Muerto,177,155000,9.032451084992953,-79.51231928925779
Forest Village y Park Village Residencial,162,80000,8.938808800000002,-79.7349519
Sabana Tower en Vía España y La 12 de Octubre,,180750,8.99776464104048,-79.5182907715365
"Apartamentos en San Francisco - Separación $500 - Ingreso Familiar $2,054",65,135800,8.993572605197473,-79.50537172170408
Casa Bianca,272,624000,9.0124039714089,-79.4670277884602
"Vita, en Coco del Mar",164,,8.996938433887838,-79.49840064288333
Torres del Este - Apartamentos en Plaza Tocumen,77,108000,9.05902276350912,-79.42163909786984
Downtown Panama 55 Street Obarrio,50,149000,8.985077090459669,-79.52066424518279
"Brisa Marina - Costa del Este - Piso 5d - Ganga B/.347,000",,347000,9.010019999999999,-79.4725254
"Hermosos Apartamentos en Forest Gate, Albrook",,370048,8.976086989657905,-79.55863599595227
Playa Dorada Residences & Beach Club,1000,90265,8.886317799999999,-79.67270209999998
"Frente Al Mar, Llave en Mano, Condominio Impecable",194,375000,,
En Venta - Apartamento Tucan Country Club - Campo de Golf,56,157000,,
Costa del Este | PH Vitri | Venta,640,1550000,9.010194618863428,-79.46440995246166
"Venta de Apto. River Valley, Panamá Pacífico",144,215000,8.9038098,-79.5911984
Venta de Apartamento en Bella Vista,107,225000,8.975017984692215,-79.53049403229363
Se Vende Apartamento en La Transístmica,95,155000,9.003483801753237,-79.52244910603571
Suoer Ganga Apt 3r3b con Linea Blanca en Rokas Condado 850,107,210000,,
"Se Vende o Alquila Apartamento en Top Towers, Costa del Este",109,230000,9.014523318835439,-79.47820291211701
Torre Yoo Panamá en La Av Balboa (Id 12431),120,359000,,
Ganga PH The Reserve Legacy - Apartamento en Venta - Santa María,271,699000,9.027222600000002,-79.4571406
Apartamento en Venta Carrasquilla Pp19 - 12347,94,180000,8.907485,-79.581344
PH Sorrento - Parque Lefevre,68,120000,9.009413889702623,-79.50288341380656
"Se Vende Hermoso Apartamento en Yacht Club, Av Balboa",216,530000,8.97571775929803,-79.51963241046326
Nuevo Yoo - Exclusivo Proyecto - Hyde By Marcel Wanders - 3 Recámaras,167,499000,8.979718434952602,-79.51731950619448
Se Vende Apartamento PH Miramar Av Balboa,375,675000,8.974896613321215,-79.5175018964075
"Apartamentos en Coco del Mar, Entrega Inmediata!",224,446000,8.996839828949767,-79.49850325145155
Regalia - Costa del Este | Apartamentos Para Estrenar en La Primera Linea de Mar,329,746500,9.01092312389138,-79.46382523089642
The Reserve - Santa María Golf & Country Club,331,447115,9.0193557,-79.4601568
PH Laureles,69,105000,9.0763064,-79.43803909999997
Playa Caracol,94,111121,8.577393899999999,-79.79056789999999
Hyde By Wanders & Yoo,140,280000,8.979902960807717,-79.51731696765899
Proyecto Época en Parque Lefevre,,121800,9.007839844640115,-79.50218734821543
Apartamentos Listo Para Entrega en Bella Vista - Quedan Pocas Unidades.,106,240340,,
"Se Venden Apartamentos en Gaudi, Vía España",70,160500,8.996218179852079,-79.51883174218062
Las Olas Towers Playa La Barqueta,52,85000,8.304966207338168,-82.57636991948243
Pacific Wind Punta Pacifica Vendo Apartamento,106,185500,,
Apartamento a La Venta en San Francisco,150,355000,8.9924711,-79.5069436
Venta Apartamento en San Francisco de 4 Habitaciones,138,210000,,
